code,industry
002869,电子元件
002870,汽车零部件
002871,机械行业
002872,化学制药
002873,中药
002875,纺织服装
002878,文化传媒
002880,生物制品
002881,消费电子
002882,输配电气
002883,工程咨询服务
002884,机械行业
002885,消费电子
002886,塑胶制品
002887,环保行业
002888,消费电子
002891,农牧饲渔
002893,公用事业
002895,化学原料
002896,机械行业
002897,光伏设备
002898,医药制造
002899,家用轻工
002900,医药制造
002901,医疗器械
002902,通信设备
002906,汽车零部件
002907,中药
002908,软件开发
002909,化工行业
002910,食品饮料
002911,燃气
002912,互联网服务
002913,电子元件
002915,化工行业
002916,电子元件
002917,化工行业
002918,装修建材
002919,游戏
002920,汽车行业
002922,电子元件
002923,医药制造
002925,消费电子
002926,非银金融
002927,输配电气
002928,民航机场
002929,通信服务
002930,交运物流
002931,通用设备
002932,医疗器械
002933,航天航空
002935,通信设备
002937,消费电子
002938,电子元件
002939,非银金融
002940,医药制造
002941,工程建设
002942,农药兽药
002943,通用设备
002945,非银金融
002946,食品饮料
002947,消费电子
002949,工程咨询服务
002950,医疗器械
002951,电源设备
002952,光学光电子
002953,电网设备
002955,光学光电子
002956,食品饮料
002957,专用设备
002958,银行
002959,家电行业
002960,专用设备
002961,多元金融
002962,光学光电子
002963,装修装饰
002965,通用设备
002966,银行
002967,专业服务
002968,房地产服务
002969,包装材料
002970,计算机设备
002971,化工行业
002972,交运设备
002973,环保行业
002975,专用设备
002976,汽车零部件
002977,通信设备
002979,专用设备
002980,仪器仪表
002981,消费电子
002982,农牧饲渔
002983,光学光电子
002984,橡胶制品
002985,航天航空
002986,化工行业
002987,软件服务
002988,有色金属
002989,装修装饰
002990,互联网服务
002991,食品饮料
002992,光学光电子
002993,消费电子
002995,文化传媒
002996,有色金属
002997,汽车零部件
002998,化纤行业
002999,化肥行业
003000,食品饮料
003001,工程咨询服务
003002,化工行业
003003,包装材料
003004,安防设备
003005,互联网服务
003006,美容护理
003007,软件服务
003008,专业服务
003011,塑胶制品
003017,化学原料
003019,光学光电子
003020,化学制药
003021,电机
003022,化工行业
003023,家电行业
003025,机械行业
003026,半导体
003027,环保工程
003028,消费电子
003029,软件服务
003030,食品饮料
003031,通信设备
003032,文教休闲
003033,汽车零部件
003035,专业服务
003036,专用设备
003038,有色金属
003039,公用事业
003040,通信设备
003043,通用设备
003816,电力行业
300001,发电设备
300003,医疗器械
300004,专用设备
300005,纺织服装
300006,医药制造
300007,仪器仪表
300008,船舶制造
300009,生物制品
300014,电子器件
300015,医疗器械
300016,医药制造
300017,互联网服务
300019,化工行业
300020,互联网服务
300021,农牧饲渔
300023,--
300024,机械行业
300025,通信服务
300026,中药
300027,文化传媒
300028,--
300029,光伏设备
300030,医疗器械
300031,游戏
300032,消费电子
300034,有色金属
300035,非金属材料
300037,电池
300038,--
300039,中药
300040,电力行业
300041,化工行业
300042,半导体
300043,游戏
300044,互联网服务
300045,计算机设备
300046,半导体
300047,软件服务
300048,专用设备
300049,医疗器械
300050,通信服务
300051,光伏设备
300053,半导体
300054,电子化学品
300055,环保工程
300056,环保工程
300057,有色金属
300058,印刷包装
300059,非银金融
300061,文化传媒
300062,输配电气
300065,船舶制造
300066,仪器仪表
300067,化工行业
300068,电池
300069,电网设备
300070,环保行业
300071,文化传媒
300072,化工行业
300073,电池
300074,软件服务
300075,软件服务
300076,光学光电子
300077,半导体
300082,化学原料
300083,通用设备
300086,医药制造
300087,农牧饲渔
300092,机械行业
300095,机械行业
300098,软件开发
300099,专用设备
300100,汽车制造
300101,通讯行业
300102,光学光电子
300103,专用设备
300104,--
300105,电源设备
300106,食品饮料
300107,化工行业
300108,--
300109,化工行业
300110,医药制造
300112,仪器仪表
300113,游戏
300115,消费电子
300116,--
300118,光伏设备
300119,农药兽药
300120,光学光电子
300121,橡胶制品
300122,生物制品
300123,船舶制造
300124,仪器仪表
300125,光伏设备
300126,机械行业
300127,小金属
300128,光学光电子
300129,风电设备
300130,计算机设备
300131,消费电子
300132,美容护理
300133,文化传媒
300134,通讯行业
300135,化工行业
300136,消费电子
300137,环保工程
300138,农牧饲渔
300139,贵金属
300140,电器行业
300141,输配电气
300142,生物制品
300143,医疗行业
300144,酒店旅游
300145,机械行业
300146,食品行业
300149,医疗行业
300150,电子信息
300151,专用设备
300152,环保工程
300153,电源设备
300154,机械行业
300155,安防设备
300158,医药制造
300160,家电行业
300162,光学光电子
300164,采掘行业
300168,互联网服务
300169,化学制品
300170,互联网服务
300171,医疗器械
300172,环保工程
300173,专用设备
300174,化工行业
300176,汽车行业
300177,计算机设备
300178,--
300179,通用设备
300180,塑胶制品
300183,通信服务
300184,贸易行业
300185,风电设备
300186,--
300187,环保工程
300188,软件服务
300189,农牧饲渔
300190,环保工程
300191,采掘行业
300192,教育
300193,机械行业
300194,医药制造
300195,专用设备
300196,玻璃玻纤
300197,环保行业
300198,装修建材
300200,化学制品
300201,工程机械
300202,--
300204,生物制品
300205,通信设备
300206,医疗器械
300207,电池
300211,通信服务
300212,互联网服务
300214,塑胶制品
300215,专业服务
300216,--
300217,专用设备
300219,光学光电子
300221,塑胶制品
300222,输配电气
300223,半导体
300224,小金属
300225,化工行业
300227,电子元件
300228,专用设备
300230,塑胶制品
300232,光学光电子
300233,医药制造
300234,装修建材
300235,软件开发
300236,电子化学品
300237,汽车零部件
300238,医疗器械
